transaction_id,transaction_date,drug_id,drug_name,category,quantity_dispensed,unit_price,facility_id
T1,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,12.02,F001
T2,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,3,25.67,F001
T3,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,5,32.05,F001
T4,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,3,5.93,F001
T5,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,37.49,F001
T6,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,13.18,F001
T7,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,5,32.79,F001
T8,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,28.61,F001
T9,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,4,6.04,F001
T10,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,3,32.53,F001
T11,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,7.1,F001
T12,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,4,21.49,F001
T13,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,3,22.21,F001
T14,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,4,31.66,F001
T15,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,3,43.7,F001
T16,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,5,25.27,F001
T17,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,47.7,F001
T18,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,4,30.35,F001
T19,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,2,18.71,F001
T20,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,5,15.39,F001
T21,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,4,24.81,F001
T22,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,4,27.28,F001
T23,2022-01-01,D001,Artemether-Lumefantrine,Antimalarial,1,45.92,F001
T24,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,4,13.2,F001
T25,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,4,19.03,F001
T26,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,30.55,F001
T27,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,5,48.63,F001
T28,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,25.24,F001
T29,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,45.27,F001
T30,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,4,7.04,F001
T31,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,5,22.49,F001
T32,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,29.29,F001
T33,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,48.44,F001
T34,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,4,29.42,F001
T35,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,1,18.33,F001
T36,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,5,8.35,F001
T37,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,1,39.75,F001
T38,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,4,18.21,F001
T39,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,3,13.95,F001
T40,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,3,40.56,F001
T41,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,3,8.33,F001
T42,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,10.21,F001
T43,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,1,33.05,F001
T44,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,9.29,F001
T45,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,5,37.83,F001
T46,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,3,30.26,F001
