stock_id,stock_received_date,facility_name,drug_id,drug_name,quantity_received,supplier,batch_number,expiry_date,delivery_delay_days
GRN-20190116-0001,2019-01-16,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,315,Abacus Pharma,9ZQUUGGG,2020-10-08,2
GRN-20190116-0002,2019-01-16,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,408,National Medical Stores,3R7M95VF,2020-07-28,6
GRN-20190117-0003,2019-01-17,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,520,National Medical Stores,ZMEHJA28,2020-09-01,4
GRN-20190117-0004,2019-01-17,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2067,Abacus Pharma,9594DHOS,2020-03-07,7
GRN-20190117-0005,2019-01-17,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,830,EMHS Uganda,QJBPTIBA,2021-03-27,0
GRN-20190118-0006,2019-01-18,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1640,Joint Medical Store,GSI4GZVD,2021-01-11,6
GRN-20190118-0007,2019-01-18,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,774,Joint Medical Store,YJK4V6WP,2020-03-27,3
GRN-20190119-0008,2019-01-19,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,2013,Joint Medical Store,XJFKYR0X,2021-03-05,6
GRN-20190121-0009,2019-01-21,Allan Galpin Health Center,D021,Metformin 850mg Tablets,1941,Abacus Pharma,KUJHNDL9,2020-03-31,1
GRN-20190121-0010,2019-01-21,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,1039,National Medical Stores,QU4F2RT6,2020-09-09,4
GRN-20190121-0011,2019-01-21,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1556,Abacus Pharma,XMOFQXKN,2020-09-03,1
GRN-20190121-0012,2019-01-21,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1617,Abacus Pharma,XMVBA29X,2021-02-28,7
GRN-20190122-0013,2019-01-22,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,689,Cipla Quality Chemicals,0O9X628P,2020-08-05,2
GRN-20190122-0014,2019-01-22,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1508,National Medical Stores,JRL1TNH8,2020-11-01,6
GRN-20190122-0015,2019-01-22,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,1177,Cipla Quality Chemicals,TNZRNQXF,2020-10-16,2
GRN-20190122-0016,2019-01-22,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1443,Quality Chemicals Industries,G30Q13VL,2021-06-10,2
GRN-20190122-0017,2019-01-22,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1293,National Medical Stores,TWURX6V0,2020-03-07,7
GRN-20190122-0018,2019-01-22,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,1054,National Medical Stores,5V655O2E,2021-03-07,7
GRN-20190123-0019,2019-01-23,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,693,National Medical Stores,01RZ5RT3,2020-09-06,4
GRN-20190124-0020,2019-01-24,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,3463,Joint Medical Store,KKO43VSM,2020-12-06,3
GRN-20190124-0021,2019-01-24,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1383,Joint Medical Store,DTKYMGOH,2020-05-10,7
GRN-20190125-0022,2019-01-25,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1032,Cipla Quality Chemicals,9UHHK7OA,2020-01-28,7
GRN-20190125-0023,2019-01-25,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1310,Cipla Quality Chemicals,IZ9XWCEQ,2020-10-30,6
GRN-20190125-0024,2019-01-25,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,375,National Medical Stores,IZ4JMPPI,2020-03-06,4
GRN-20190126-0025,2019-01-26,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,1986,Cipla Quality Chemicals,Q0K5OZJI,2020-07-02,3
GRN-20190126-0026,2019-01-26,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,621,Joint Medical Store,7GVBP65P,2020-03-19,6
GRN-20190126-0027,2019-01-26,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,493,Abacus Pharma,DO2HFT7Y,2020-10-16,7
GRN-20190126-0028,2019-01-26,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,781,Abacus Pharma,VGR2ZGMB,2020-08-15,6
GRN-20190127-0029,2019-01-27,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1558,Abacus Pharma,3L57RVUQ,2021-02-17,7
GRN-20190128-0030,2019-01-28,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,1937,Cipla Quality Chemicals,VV54LTCE,2020-12-05,0
GRN-20190128-0031,2019-01-28,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,3316,Quality Chemicals Industries,6OKMRAPE,2020-06-18,5
GRN-20190128-0032,2019-01-28,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,560,Joint Medical Store,UWUS1CAO,2021-04-19,7
GRN-20190128-0033,2019-01-28,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,706,Quality Chemicals Industries,2EIWEZAA,2020-09-22,3
GRN-20190128-0034,2019-01-28,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1703,Cipla Quality Chemicals,YWEMHHPE,2020-10-13,5
GRN-20190128-0035,2019-01-28,Allan Galpin Health Center,D028,ORS Sachets,1265,EMHS Uganda,MHNN4IIT,2020-10-15,1
GRN-20190206-0036,2019-02-06,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,593,National Medical Stores,QZF60SH3,2020-08-06,0
GRN-20190207-0037,2019-02-07,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,1096,Joint Medical Store,UO670FL1,2020-03-04,4
GRN-20190207-0038,2019-02-07,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1439,Abacus Pharma,G4FM411C,2020-06-10,1
GRN-20190211-0039,2019-02-11,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,1958,Quality Chemicals Industries,3RO08LZS,2020-11-25,2
GRN-20190211-0040,2019-02-11,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,480,EMHS Uganda,RATRHU4R,2020-04-25,7
GRN-20190211-0041,2019-02-11,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1180,EMHS Uganda,UJD5T75E,2021-07-17,7
GRN-20190211-0042,2019-02-11,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1365,Joint Medical Store,4EECKM1B,2020-04-01,3
GRN-20190214-0043,2019-02-14,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,754,Joint Medical Store,U3I8P34X,2020-05-02,6
GRN-20190214-0044,2019-02-14,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,4563,EMHS Uganda,NP30S8EE,2021-05-07,0
GRN-20190214-0045,2019-02-14,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,947,National Medical Stores,IULM5ZC6,2020-07-25,7
GRN-20190215-0046,2019-02-15,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,875,National Medical Stores,6C4NZW5R,2020-12-14,3
GRN-20190215-0047,2019-02-15,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,442,Quality Chemicals Industries,MJRA02D8,2020-10-29,2
GRN-20190215-0048,2019-02-15,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1359,National Medical Stores,1Q5CKMSK,2020-08-03,2
GRN-20190215-0049,2019-02-15,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,1076,EMHS Uganda,FP8ZWLHB,2020-08-27,0
GRN-20190215-0050,2019-02-15,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,526,EMHS Uganda,Q2ET9X9U,2020-06-20,7
GRN-20190216-0051,2019-02-16,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,769,Cipla Quality Chemicals,54VDEF7C,2020-07-06,7
GRN-20190216-0052,2019-02-16,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,437,EMHS Uganda,0K6RM7AI,2021-01-16,4
GRN-20190217-0053,2019-02-17,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1265,National Medical Stores,Q06V4B97,2020-11-15,4
GRN-20190217-0054,2019-02-17,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1779,Abacus Pharma,JL4TLWU4,2020-09-18,7
GRN-20190218-0055,2019-02-18,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,1740,Quality Chemicals Industries,0BG9LO52,2020-12-06,5
GRN-20190218-0056,2019-02-18,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1105,Cipla Quality Chemicals,M5GD41WR,2020-07-22,6
GRN-20190219-0057,2019-02-19,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1479,National Medical Stores,YBDG4E23,2020-02-29,4
GRN-20190219-0058,2019-02-19,Allan Galpin Health Center,D028,ORS Sachets,1257,Quality Chemicals Industries,3DJT3SY1,2020-11-27,5
GRN-20190220-0059,2019-02-20,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,651,National Medical Stores,WWNF2852,2021-03-25,2
GRN-20190220-0060,2019-02-20,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2803,Cipla Quality Chemicals,JJMFE2IS,2021-06-14,4
GRN-20190220-0061,2019-02-20,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1498,EMHS Uganda,F7J657LE,2021-08-06,7
GRN-20190220-0062,2019-02-20,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1430,Abacus Pharma,825981SP,2021-03-06,0
GRN-20190220-0063,2019-02-20,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1149,Cipla Quality Chemicals,4J8UJGYT,2021-01-08,5
GRN-20190222-0064,2019-02-22,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,482,EMHS Uganda,MS91VS2Q,2021-05-18,5
GRN-20190222-0065,2019-02-22,Allan Galpin Health Center,D021,Metformin 850mg Tablets,2285,Cipla Quality Chemicals,IG14C6CD,2020-09-06,7
GRN-20190224-0066,2019-02-24,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,2154,Joint Medical Store,46C2TAI8,2020-10-24,6
GRN-20190225-0067,2019-02-25,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2945,Abacus Pharma,S1GSDLVC,2020-12-17,5
GRN-20190225-0068,2019-02-25,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,616,National Medical Stores,G7CPDNGO,2021-01-21,3
GRN-20190225-0069,2019-02-25,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,840,National Medical Stores,IZAZDODM,2020-06-02,5
GRN-20190226-0070,2019-02-26,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,587,Abacus Pharma,DLC3RPS3,2020-05-01,4
GRN-20190227-0071,2019-02-27,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,513,Joint Medical Store,DMA3EVWJ,2020-09-08,7
GRN-20190228-0072,2019-02-28,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1609,EMHS Uganda,L1ZGG432,2020-03-03,5
GRN-20190301-0073,2019-03-01,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,791,National Medical Stores,V487UQ7N,2020-07-12,5
GRN-20190302-0074,2019-03-02,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,880,Joint Medical Store,XLREV80S,2021-07-11,5
GRN-20190306-0075,2019-03-06,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,429,National Medical Stores,SALNXRLV,2021-01-05,3
GRN-20190307-0076,2019-03-07,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,633,Quality Chemicals Industries,OBMNAXX9,2020-04-01,2
GRN-20190309-0077,2019-03-09,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,920,EMHS Uganda,L94TC352,2020-11-11,2
GRN-20190309-0078,2019-03-09,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,862,Quality Chemicals Industries,C2UV2X6V,2020-05-17,5
GRN-20190310-0079,2019-03-10,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1189,Abacus Pharma,3R7PMDBA,2021-01-27,0
GRN-20190310-0080,2019-03-10,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1309,EMHS Uganda,FTEM38Z8,2021-08-12,4
GRN-20190310-0081,2019-03-10,Allan Galpin Health Center,D028,ORS Sachets,1616,Joint Medical Store,GX5A0JRQ,2021-03-19,7
GRN-20190311-0082,2019-03-11,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1609,EMHS Uganda,2IHP64PB,2020-10-08,0
GRN-20190312-0083,2019-03-12,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,721,EMHS Uganda,YV1ELGXN,2020-10-08,3
GRN-20190313-0084,2019-03-13,Allan Galpin Health Center,D002,Artesunate Injection 60mg,944,Joint Medical Store,5LEHBK88,2021-04-14,2
GRN-20190313-0085,2019-03-13,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1120,Abacus Pharma,I06PLFTH,2020-04-28,2
GRN-20190314-0086,2019-03-14,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,748,EMHS Uganda,MUCQRUXA,2021-03-21,5
GRN-20190314-0087,2019-03-14,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2535,Abacus Pharma,CNK6Y6QM,2020-08-08,4
GRN-20190314-0088,2019-03-14,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1425,Abacus Pharma,GTBT7LHW,2020-09-06,6
GRN-20190314-0089,2019-03-14,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,2002,Abacus Pharma,WI34KMWQ,2021-08-21,2
GRN-20190314-0090,2019-03-14,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,375,National Medical Stores,VL35QBTO,2021-06-10,6
GRN-20190315-0091,2019-03-15,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1227,Cipla Quality Chemicals,73NJONCJ,2021-07-27,0
GRN-20190315-0092,2019-03-15,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,325,Abacus Pharma,GRO1OOFL,2021-05-13,2
GRN-20190316-0093,2019-03-16,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,598,Joint Medical Store,P9I48BMM,2021-08-05,1
GRN-20190316-0094,2019-03-16,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,2008,Cipla Quality Chemicals,H1NW2WBW,2021-03-29,3
GRN-20190316-0095,2019-03-16,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,3962,Abacus Pharma,NIWK51RP,2020-08-11,0
GRN-20190317-0096,2019-03-17,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,1752,Joint Medical Store,09H1QZ5F,2020-07-16,7
GRN-20190317-0097,2019-03-17,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2296,Joint Medical Store,A8J8DDN8,2021-08-14,7
GRN-20190317-0098,2019-03-17,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1387,Quality Chemicals Industries,HWA0KMPX,2021-05-04,2
GRN-20190318-0099,2019-03-18,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,590,Quality Chemicals Industries,RS7XQNQ8,2020-10-11,4
GRN-20190319-0100,2019-03-19,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,647,EMHS Uganda,GVXH8EN3,2020-04-07,1
GRN-20190319-0101,2019-03-19,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,878,Abacus Pharma,IBSKFSZC,2020-07-09,7
GRN-20190320-0102,2019-03-20,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,449,Abacus Pharma,78MDLRTZ,2021-02-25,3
GRN-20190321-0103,2019-03-21,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1748,Cipla Quality Chemicals,WDCNP7TB,2021-04-25,6
GRN-20190322-0104,2019-03-22,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1359,Joint Medical Store,XBZBZSX1,2021-04-21,6
GRN-20190323-0105,2019-03-23,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,579,Abacus Pharma,91BNG8MS,2020-11-18,4
GRN-20190325-0106,2019-03-25,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1338,EMHS Uganda,1EXIAKTV,2020-11-02,0
GRN-20190326-0107,2019-03-26,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,614,National Medical Stores,1DYD5CNC,2020-11-21,7
GRN-20190326-0108,2019-03-26,Allan Galpin Health Center,D021,Metformin 850mg Tablets,2182,Joint Medical Store,XI9JRPVP,2020-08-24,6
GRN-20190329-0109,2019-03-29,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1424,National Medical Stores,JK1VRBWZ,2020-12-26,6
GRN-20190331-0110,2019-03-31,Allan Galpin Health Center,D002,Artesunate Injection 60mg,953,EMHS Uganda,WJ7Q5H0B,2021-04-14,2
GRN-20190331-0111,2019-03-31,Allan Galpin Health Center,D028,ORS Sachets,1921,Quality Chemicals Industries,4ELAWZLF,2020-09-04,2
GRN-20190401-0112,2019-04-01,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,714,EMHS Uganda,LCRCMON8,2020-09-22,3
GRN-20190401-0113,2019-04-01,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1264,National Medical Stores,9E6RBHF6,2021-06-04,4
GRN-20190403-0114,2019-04-03,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,4797,Joint Medical Store,46SRAH2R,2021-06-13,0
GRN-20190403-0115,2019-04-03,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1349,Cipla Quality Chemicals,EB7MPARN,2020-10-25,5
GRN-20190404-0116,2019-04-04,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,831,Abacus Pharma,NOHXEQZB,2021-03-10,0
