medication,n_train,n_test,mae,rmse,mape,trained_date
Amlodipine Tablets,37,10,1136.1382935674364,1399.2490384330129,31.42319745198256,2026-02-12T01:19:17.787314
Amoxicillin Capsules,37,10,1103.4309827198663,1398.7682902248741,36.06461136694582,2026-02-12T01:19:17.909020
Artemether-Lumefantrine,37,10,1240.904145157426,1508.255500337759,55.885383826606216,2026-02-12T01:19:18.001121
Azithromycin Tablets,37,10,744.2248421484953,1324.1674628003143,15.634508251702952,2026-02-12T01:19:18.141828
Ceftriaxone Injection,37,10,625.877529556464,842.5661091391173,16.18030327714181,2026-02-12T01:19:18.265034
Co-trimoxazole Tablets,37,10,1386.685370413415,1538.4315799330002,33.584302465121816,2026-02-12T01:19:18.377245
Doxycycline Capsules,37,10,1842.24912982196,2116.976653443838,74.61467870709292,2026-02-12T01:19:18.563687
Ibuprofen Tablets,37,10,1116.8091707627568,1350.086093979655,45.01356862715325,2026-02-12T01:19:18.659212
Metformin Tablets,36,10,1025.2210851034583,1445.157879183116,21.59000010934052,2026-02-12T01:19:18.761956
Omeprazole Capsules,37,10,633.8747443697978,782.2537889134431,15.036131956282498,2026-02-12T01:19:18.870178
Paracetamol Tablets,37,10,1210.531801324671,1375.3440933672034,51.185593807262485,2026-02-12T01:19:19.025692
Tenofovir-Lamivudine-Dolutegravir,37,10,630.1401595209566,777.0563094205489,23.343491831532827,2026-02-12T01:19:19.223492
