drug_id,month,monthly_demand
D001,2019-01-01,2478
D001,2019-02-01,2692
D001,2019-03-01,3052
D001,2019-04-01,2941
D001,2019-05-01,3075
D001,2019-06-01,2853
D001,2019-07-01,2515
D001,2019-08-01,2483
D001,2019-09-01,2788
D001,2019-10-01,3097
D001,2019-11-01,2947
D001,2019-12-01,2983
D001,2020-01-01,2477
D001,2020-02-01,2813
D001,2020-03-01,3194
D001,2020-04-01,3008
D001,2020-05-01,3083
D001,2020-06-01,2901
D001,2020-07-01,2646
D001,2020-08-01,2601
D001,2020-09-01,2896
D001,2020-10-01,3128
D001,2020-11-01,3085
D001,2020-12-01,3013
D001,2021-01-01,2646
D001,2021-02-01,2885
D001,2021-03-01,3096
D001,2021-04-01,3150
D001,2021-05-01,3214
D001,2021-06-01,3008
D001,2021-07-01,2735
D001,2021-08-01,2677
D001,2021-09-01,2961
D001,2021-10-01,3288
D001,2021-11-01,3116
D001,2021-12-01,3133
D001,2022-01-01,2731
D001,2022-02-01,2811
D001,2022-03-01,3288
D001,2022-04-01,3166
D001,2022-05-01,3310
D001,2022-06-01,2996
D001,2022-07-01,2817
D001,2022-08-01,2796
D001,2022-09-01,3064
D001,2022-10-01,3386
D001,2022-11-01,3257
D001,2022-12-01,3180
D001,2023-01-01,2793
D001,2023-02-01,2961
D001,2023-03-01,3357
D001,2023-04-01,3310
D001,2023-05-01,3365
D001,2023-06-01,3170
D001,2023-07-01,2861
D001,2023-08-01,2823
D001,2023-09-01,3170
D001,2023-10-01,3437
D001,2023-11-01,3333
D001,2023-12-01,3337
D001,2024-01-01,2967
D001,2024-02-01,3055
D001,2024-03-01,3553
D001,2024-04-01,3339
D001,2024-05-01,3435
D001,2024-06-01,3210
D001,2024-07-01,2928
D001,2024-08-01,2918
D001,2024-09-01,3196
D001,2024-10-01,3515
D001,2024-11-01,3437
D001,2024-12-01,3321
D002,2019-01-01,1169
D002,2019-02-01,1264
D002,2019-03-01,1466
D002,2019-04-01,1380
D002,2019-05-01,1439
D002,2019-06-01,1296
D002,2019-07-01,1182
D002,2019-08-01,1169
D002,2019-09-01,1331
D002,2019-10-01,1433
D002,2019-11-01,1458
D002,2019-12-01,1403
D002,2020-01-01,1224
D002,2020-02-01,1332
D002,2020-03-01,1470
D002,2020-04-01,1429
D002,2020-05-01,1477
D002,2020-06-01,1335
D002,2020-07-01,1209
D002,2020-08-01,1201
D002,2020-09-01,1339
D002,2020-10-01,1463
D002,2020-11-01,1445
D002,2020-12-01,1422
D002,2021-01-01,1220
D002,2021-02-01,1300
D002,2021-03-01,1517
D002,2021-04-01,1398
D002,2021-05-01,1480
D002,2021-06-01,1370
D002,2021-07-01,1210
D002,2021-08-01,1165
D002,2021-09-01,1379
D002,2021-10-01,1514
D002,2021-11-01,1475
D002,2021-12-01,1424
D002,2022-01-01,1258
D002,2022-02-01,1278
D002,2022-03-01,1513
D002,2022-04-01,1477
D002,2022-05-01,1516
D002,2022-06-01,1413
D002,2022-07-01,1254
D002,2022-08-01,1227
D002,2022-09-01,1431
D002,2022-10-01,1535
D002,2022-11-01,1487
D002,2022-12-01,1465
D002,2023-01-01,1275
D002,2023-02-01,1364
D002,2023-03-01,1566
D002,2023-04-01,1513
D002,2023-05-01,1535
D002,2023-06-01,1451
D002,2023-07-01,1281
D002,2023-08-01,1304
D002,2023-09-01,1391
D002,2023-10-01,1562
D002,2023-11-01,1545
D002,2023-12-01,1505
D002,2024-01-01,1292
D002,2024-02-01,1421
D002,2024-03-01,1562
D002,2024-04-01,1524
D002,2024-05-01,1599
D002,2024-06-01,1458
D002,2024-07-01,1288
D002,2024-08-01,1327
D002,2024-09-01,1458
D002,2024-10-01,1574
D002,2024-11-01,1545
D002,2024-12-01,1516
D003,2019-01-01,956
D003,2019-02-01,967
D003,2019-03-01,1135
D003,2019-04-01,1109
D003,2019-05-01,1131
D003,2019-06-01,1050
D003,2019-07-01,970
D003,2019-08-01,935
D003,2019-09-01,1037
D003,2019-10-01,1152
D003,2019-11-01,1098
D003,2019-12-01,1098
D003,2020-01-01,991
D003,2020-02-01,1061
D003,2020-03-01,1152
D003,2020-04-01,1117
D003,2020-05-01,1177
D003,2020-06-01,1070
D003,2020-07-01,974
D003,2020-08-01,995
D003,2020-09-01,1102
D003,2020-10-01,1189
D003,2020-11-01,1112
D003,2020-12-01,1136
D003,2021-01-01,1024
D003,2021-02-01,1014
D003,2021-03-01,1178
D003,2021-04-01,1169
D003,2021-05-01,1243
D003,2021-06-01,1125
D003,2021-07-01,1026
D003,2021-08-01,1046
D003,2021-09-01,1165
D003,2021-10-01,1204
D003,2021-11-01,1180
D003,2021-12-01,1191
D003,2022-01-01,1038
D003,2022-02-01,1117
D003,2022-03-01,1241
D003,2022-04-01,1203
D003,2022-05-01,1290
D003,2022-06-01,1165
D003,2022-07-01,1061
D003,2022-08-01,1082
D003,2022-09-01,1161
D003,2022-10-01,1301
D003,2022-11-01,1214
D003,2022-12-01,1240
D003,2023-01-01,1071
D003,2023-02-01,1128
D003,2023-03-01,1302
D003,2023-04-01,1240
D003,2023-05-01,1312
D003,2023-06-01,1215
D003,2023-07-01,1113
D003,2023-08-01,1093
D003,2023-09-01,1216
D003,2023-10-01,1331
D003,2023-11-01,1293
D003,2023-12-01,1283
D003,2024-01-01,1122
D003,2024-02-01,1196
D003,2024-03-01,1382
D003,2024-04-01,1312
D003,2024-05-01,1371
D003,2024-06-01,1222
D003,2024-07-01,1145
D003,2024-08-01,1161
D003,2024-09-01,1266
D003,2024-10-01,1388
D003,2024-11-01,1320
D003,2024-12-01,1311
D004,2019-01-01,648
D004,2019-02-01,586
D004,2019-03-01,735
D004,2019-04-01,750
D004,2019-05-01,763
D004,2019-06-01,727
D004,2019-07-01,643
D004,2019-08-01,663
D004,2019-09-01,707
D004,2019-10-01,775
D004,2019-11-01,797
D004,2019-12-01,725
D004,2020-01-01,666
D004,2020-02-01,629
D004,2020-03-01,761
D004,2020-04-01,739
D004,2020-05-01,786
D004,2020-06-01,717
D004,2020-07-01,665
D004,2020-08-01,678
D004,2020-09-01,719
D004,2020-10-01,783
D004,2020-11-01,743
D004,2020-12-01,755
D004,2021-01-01,678
D004,2021-02-01,620
D004,2021-03-01,741
D004,2021-04-01,750
D004,2021-05-01,795
D004,2021-06-01,733
D004,2021-07-01,686
D004,2021-08-01,660
D004,2021-09-01,734
D004,2021-10-01,800
D004,2021-11-01,759
D004,2021-12-01,743
D004,2022-01-01,663
D004,2022-02-01,610
D004,2022-03-01,749
D004,2022-04-01,767
D004,2022-05-01,793
