drug_id,forecast_month,predicted_demand
D001,2025-01-01,3279.2
D001,2025-02-01,3368.29
D001,2025-03-01,3462.89
D002,2025-01-01,1468.71
D002,2025-02-01,1530.38
D002,2025-03-01,1563.69
D003,2025-01-01,1264.86
D003,2025-02-01,1312.11
D003,2025-03-01,1349.39
D004,2025-01-01,735.87
D004,2025-02-01,748.46
D004,2025-03-01,777.63
D005,2025-01-01,1869.85
D005,2025-02-01,1952.01
D005,2025-03-01,2015.79
D006,2025-01-01,2738.04
D006,2025-02-01,2733.34
D006,2025-03-01,2938.88
D007,2025-01-01,1564.18
D007,2025-02-01,1570.7
D007,2025-03-01,1655.55
D008,2025-01-01,738.31
D008,2025-02-01,745.06
D008,2025-03-01,787.8
D009,2025-01-01,1193.81
D009,2025-02-01,1228.01
D009,2025-03-01,1329.51
D010,2025-01-01,1700.9
D010,2025-02-01,1697.76
D010,2025-03-01,1809.08
D011,2025-01-01,998.39
D011,2025-02-01,1023.11
D011,2025-03-01,1113.2
D012,2025-01-01,650.21
D012,2025-02-01,653.65
D012,2025-03-01,680.79
D013,2025-01-01,3636.3
D013,2025-02-01,3619.51
D013,2025-03-01,3728.64
D014,2025-01-01,2327.24
D014,2025-02-01,2308.35
D014,2025-03-01,2398.21
D015,2025-01-01,1266.77
D015,2025-02-01,1281.11
D015,2025-03-01,1349.05
D016,2025-01-01,519.21
D016,2025-02-01,521.76
D016,2025-03-01,535.69
D017,2025-01-01,1242.6
D017,2025-02-01,1266.86
D017,2025-03-01,1415.74
D018,2025-01-01,700.07
D018,2025-02-01,714.08
D018,2025-03-01,781.62
D019,2025-01-01,620.97
D019,2025-02-01,627.53
D019,2025-03-01,671.31
D020,2025-01-01,857.49
D020,2025-02-01,891.11
D020,2025-03-01,978.89
D021,2025-01-01,2486.69
D021,2025-02-01,2455.98
D021,2025-03-01,2488.8
D022,2025-01-01,1154.51
D022,2025-02-01,1136.29
D022,2025-03-01,1148.53
D023,2025-01-01,610.5
D023,2025-02-01,595.5
D023,2025-03-01,594.47
D024,2025-01-01,1633.03
D024,2025-02-01,1623.0
D024,2025-03-01,1697.2
D025,2025-01-01,1233.56
D025,2025-02-01,1238.26
D025,2025-03-01,1277.7
D026,2025-01-01,1057.32
D026,2025-02-01,1069.35
D026,2025-03-01,1118.6
D027,2025-01-01,827.46
D027,2025-02-01,831.81
D027,2025-03-01,862.95
D028,2025-01-01,2652.6
D028,2025-02-01,2584.64
D028,2025-03-01,2482.72
D029,2025-01-01,1826.14
D029,2025-02-01,1783.93
D029,2025-03-01,1719.08
D030,2025-01-01,1631.07
D030,2025-02-01,1596.2
D030,2025-03-01,1560.21
D031,2025-01-01,1018.82
D031,2025-02-01,995.86
D031,2025-03-01,960.67
D032,2025-01-01,1996.35
D032,2025-02-01,1988.56
D032,2025-03-01,1985.54
D033,2025-01-01,1764.22
D033,2025-02-01,1762.77
D033,2025-03-01,1768.05
D034,2025-01-01,454.66
D034,2025-02-01,440.0
D034,2025-03-01,446.58
D035,2025-01-01,391.72
D035,2025-02-01,386.31
D035,2025-03-01,396.86
