drug_id,p,d,q,P,D,Q,m
D001,1,0,0,1,1,1,12
D002,0,0,0,2,1,0,12
D003,0,0,0,1,1,0,12
D004,0,0,0,2,1,1,12
D005,0,0,0,2,1,0,12
D006,0,0,0,0,1,1,12
D007,0,0,0,0,1,1,12
D008,0,0,0,0,1,1,12
D009,0,0,0,2,1,0,12
D010,1,0,0,1,1,1,12
D011,0,0,0,2,1,0,12
D012,0,0,0,1,1,1,12
D013,0,0,0,2,1,0,12
D014,1,0,1,1,1,0,12
D015,0,0,0,2,1,0,12
D016,2,1,1,2,0,1,12
D017,1,0,1,1,1,0,12
D018,0,0,1,0,1,1,12
D019,0,0,0,2,1,0,12
D020,0,0,0,0,1,1,12
D021,0,0,0,0,1,1,12
D022,0,1,1,2,0,0,12
D023,0,1,1,2,0,0,12
D024,2,0,0,2,1,0,12
D025,0,0,0,0,1,1,12
D026,0,0,0,1,1,1,12
D027,1,0,1,1,1,0,12
D028,0,0,0,2,1,0,12
D029,1,0,2,0,1,1,12
D030,0,0,0,2,1,0,12
D031,0,0,0,2,1,0,12
D032,0,0,0,2,1,0,12
D033,0,0,0,0,1,1,12
D034,1,1,1,1,0,1,12
D035,2,1,1,1,0,1,12
