drug_id,drug_name,category,opening_stock_units,facility_name,as_of_date,total_received,total_dispensed,current_stock
D001,Artemether-Lumefantrine 20/120mg,Antimalarial,4420,Allan Galpin Health Center,2019-01-01,216835,218251,3004
D002,Artesunate Injection 60mg,Antimalarial,2580,Allan Galpin Health Center,2019-01-01,99432,100498,1514
D003,Dihydroartemisinin-Piperaquine,Antimalarial,1900,Allan Galpin Health Center,2019-01-01,81913,83185,628
D004,Quinine Sulphate 300mg,Antimalarial,1764,Allan Galpin Health Center,2019-01-01,56418,52419,5763
D005,Sulfadoxine-Pyrimethamine,Antimalarial,3840,Allan Galpin Health Center,2019-01-01,127184,128808,2216
D006,Amoxicillin 500mg Capsules,Antibiotic,6720,Allan Galpin Health Center,2019-01-01,252135,213205,45650
D007,Azithromycin 250mg Tablets,Antibiotic,2925,Allan Galpin Health Center,2019-01-01,133270,118230,17965
D008,Ceftriaxone Injection 1g,Antibiotic,1716,Allan Galpin Health Center,2019-01-01,66703,54923,13496
D009,Ciprofloxacin 500mg Tablets,Antibiotic,2660,Allan Galpin Health Center,2019-01-01,103700,87306,19054
D010,Metronidazole 400mg Tablets,Antibiotic,4455,Allan Galpin Health Center,2019-01-01,169204,135091,38568
D011,Doxycycline 100mg Capsules,Antibiotic,2436,Allan Galpin Health Center,2019-01-01,84854,72846,14444
D012,Erythromycin 500mg Tablets,Antibiotic,1420,Allan Galpin Health Center,2019-01-01,65848,46792,20476
D013,Paracetamol 500mg Tablets,Analgesic,10340,Allan Galpin Health Center,2019-01-01,350104,272681,87763
D014,Ibuprofen 400mg Tablets,Analgesic,4900,Allan Galpin Health Center,2019-01-01,210459,170659,44700
D015,Diclofenac 50mg Tablets,Analgesic,2800,Allan Galpin Health Center,2019-01-01,120663,94593,28870
D016,Tramadol 50mg Capsules,Analgesic,1185,Allan Galpin Health Center,2019-01-01,44977,35289,10873
D017,Salbutamol Inhaler 100mcg,Respiratory,3045,Allan Galpin Health Center,2019-01-01,106543,103632,5956
D018,Beclomethasone Inhaler 250mcg,Respiratory,1580,Allan Galpin Health Center,2019-01-01,61980,55945,7615
D019,Aminophylline 100mg Tablets,Respiratory,1728,Allan Galpin Health Center,2019-01-01,56271,47779,10220
D020,Prednisolone 5mg Tablets,Respiratory,1650,Allan Galpin Health Center,2019-01-01,77112,66717,12045
D021,Metformin 850mg Tablets,Antidiabetic,4440,Allan Galpin Health Center,2019-01-01,187259,155362,36337
D022,Glibenclamide 5mg Tablets,Antidiabetic,2280,Allan Galpin Health Center,2019-01-01,93491,74246,21525
D023,Insulin Soluble 100IU/mL,Antidiabetic,1230,Allan Galpin Health Center,2019-01-01,45595,37604,9221
D024,Amlodipine 5mg Tablets,Cardiovascular,4005,Allan Galpin Health Center,2019-01-01,141911,113438,32478
D025,Enalapril 10mg Tablets,Cardiovascular,2695,Allan Galpin Health Center,2019-01-01,110068,85377,27386
D026,Hydrochlorothiazide 25mg,Cardiovascular,2730,Allan Galpin Health Center,2019-01-01,92669,73874,21525
D027,Atenolol 50mg Tablets,Cardiovascular,1975,Allan Galpin Health Center,2019-01-01,76392,58905,19462
D028,ORS Sachets,Gastrointestinal,4050,Allan Galpin Health Center,2019-01-01,154709,157357,1402
D029,Zinc Sulphate 20mg Dispersible,Gastrointestinal,2380,Allan Galpin Health Center,2019-01-01,114058,109609,6829
D030,Omeprazole 20mg Capsules,Gastrointestinal,2920,Allan Galpin Health Center,2019-01-01,121078,101417,22581
D031,Loperamide 2mg Capsules,Gastrointestinal,2002,Allan Galpin Health Center,2019-01-01,65757,64339,3420
D032,Ferrous Sulphate 200mg Tablets,Maternal Health,4900,Allan Galpin Health Center,2019-01-01,154860,125026,34734
D033,Folic Acid 5mg Tablets,Maternal Health,3780,Allan Galpin Health Center,2019-01-01,142705,111584,34901
D034,Oxytocin Injection 10IU,Maternal Health,840,Allan Galpin Health Center,2019-01-01,38231,28846,10225
D035,Misoprostol 200mcg Tablets,Maternal Health,780,Allan Galpin Health Center,2019-01-01,30654,23599,7835
