drug_id,drug_name,manufacturer_country,license_holder,distribution_region,facility_type,initial_stock_units,stock_received_date,reorder_level,average_monthly_demand,delivery_frequency_days,lead_time_days,supplier_reliability_score,region_disease_outbreaks,season,transport_accessibility_score,power_stability_index,staff_availability_index,data_record_quality,storage_temperature,storage_humidity,FEFO_policy_implemented,warehouse_capacity_utilization,storage_condition_rating,stockout_occurred,expiry_rate_percent,forecast_error_percent,financial_loss_due_to_expiry_usd,delivery_delay_days,predicted_stockout_probability,expiry_risk_category,data_source
NDA/ABX/HHP/10000,Omeprazole Capsules,Spain,Pharma Mart Ltd,Central,Clinic,1295.0,2025-03-06,318,3057,89,23,0.646,0,Rainy,0.738,0.824,0.71,Moderate,24.3,79.9,1,0.628,Fair,1,8.35,15.12,306.94,6,0.523,Medium,Simulated System Logs
NDA/ARV/HHP/10001,Metformin Tablets,Spain,Pharma Mart Ltd,Northern,Hospital,2419.0,2023-10-09,319,4564,44,24,0.666,0,Rainy,0.322,0.596,0.642,Moderate,19.9,71.8,1,0.785,Fair,1,6.18,20.84,668.22,4,0.513,Medium,Simulated System Logs
NDA/ABX/HHP/10002,Omeprazole Capsules,China,Royal Pharma 2011 Ltd,Central,Pharmacy,1852.0,2022-05-09,480,3956,68,18,0.692,0,Rainy,0.696,0.893,0.733,Moderate,27.2,62.7,0,0.379,Fair,1,10.33,24.92,75.52,0,0.44,Medium,Field Survey
NDA/ABX/HHP/10003,Metformin Tablets,India,Royal Pharma 2011 Ltd,Central,Clinic,1028.0,2022-12-13,279,2802,79,17,0.359,0,Dry,0.721,0.791,0.822,High,25.5,59.2,1,0.65,Fair,1,3.98,4.49,58.95,5,0.436,Low,Simulated System Logs
NDA/ANL/HHP/10004,Doxycycline Capsules,Netherlands,HealthLink Ltd,Central,Hospital,2269.0,2024-06-01,493,2105,52,12,0.737,0,Dry,0.833,0.795,0.879,High,29.3,59.8,1,0.443,Fair,0,6.82,11.83,291.72,0,0.253,Medium,Field Survey
NDA/ARV/HHP/10005,Amlodipine Tablets,India,Pharma Mart Ltd,Western,Hospital,3803.0,2024-03-17,874,8212,8,21,0.653,0,Rainy,0.592,0.5,0.334,Poor,24.4,47.8,1,0.699,Excellent,1,5.05,29.6,354.69,1,0.579,Medium,Simulated System Logs
NDA/ABX/HHP/10006,Doxycycline Capsules,India,Royal Pharma 2011 Ltd,Eastern,Clinic,482.0,2023-09-22,127,6073,88,17,0.813,0,Rainy,0.416,0.434,0.573,Moderate,17.9,66.5,1,0.371,Excellent,0,4.13,21.82,15.1,1,0.286,Low,Simulated System Logs
NDA/CHR/HHP/10007,Ceftriaxone Injection,India,Pharma Mart Ltd,Central,Health Centre IV,1139.0,2024-07-18,185,6037,33,7,0.891,1,Dry,0.877,0.982,0.872,High,21.8,61.8,1,0.451,Excellent,0,5.12,6.55,249.1,0,0.23,Medium,Scopus Research
NDA/MAL/HHP/10008,Ceftriaxone Injection,China,Abacus Pharma (Africa),Western,Health Centre IV,4567.0,2024-06-05,479,7114,29,21,0.761,0,Dry,0.337,0.479,0.81,High,25.0,62.8,1,0.318,Excellent,1,3.51,5.97,435.64,1,0.335,Low,Simulated System Logs
NDA/CHR/HHP/10009,Omeprazole Capsules,Kenya,Royal Pharma 2011 Ltd,Central,Clinic,1197.0,2022-03-11,315,3699,71,17,0.712,0,Rainy,0.567,0.869,0.65,Moderate,16.6,58.0,1,0.262,Excellent,0,0.46,16.37,16.36,2,0.385,Low,Simulated System Logs
NDA/MAL/HHP/10010,Artemether-Lumefantrine,India,Abacus Pharma (Africa),Northern,Pharmacy,1576.0,2022-05-21,453,726,32,26,0.84,0,Rainy,0.275,0.6,0.732,Moderate,28.5,31.2,0,0.355,Fair,1,7.04,18.38,1928.13,1,0.404,Medium,Scopus Research
NDA/MAL/HHP/10011,Azithromycin Tablets,China,Royal Pharma 2011 Ltd,Central,Health Centre IV,1732.0,2025-02-27,246,8624,37,14,0.942,0,Dry,0.787,0.908,0.318,Poor,24.9,65.3,0,0.738,Excellent,0,2.74,47.31,61.17,1,0.393,Low,Simulated System Logs
NDA/CHR/HHP/10012,Metformin Tablets,Kenya,Acme Pharma Ltd,Western,Hospital,5314.0,2025-07-13,694,1110,42,17,0.369,0,Dry,0.675,0.718,0.785,High,25.4,67.1,1,0.283,Fair,0,5.21,11.87,555.26,1,0.446,Medium,Field Survey
NDA/CHR/HHP/10013,Azithromycin Tablets,Spain,Acme Pharma Ltd,Central,Clinic,683.0,2024-12-24,130,4121,81,15,0.856,0,Dry,0.679,0.706,0.747,Moderate,27.9,84.9,1,0.187,Poor,0,6.81,14.66,38.91,1,0.287,Medium,Simulated System Logs
NDA/MAL/HHP/10014,Doxycycline Capsules,India,Acme Pharma Ltd,Central,Clinic,513.0,2022-09-29,69,424,54,8,0.772,0,Rainy,0.959,1.0,0.796,High,24.3,58.2,1,0.047,Excellent,0,1.17,5.66,4.55,1,0.124,Low,Field Survey
NDA/MAL/HHP/10015,Ceftriaxone Injection,Spain,Pharma Mart Ltd,Central,Clinic,609.0,2023-07-13,126,6027,44,13,0.752,0,Dry,0.692,0.944,0.743,Moderate,29.5,49.3,0,0.68,Fair,1,10.35,15.76,240.52,0,0.311,Medium,Simulated System Logs
NDA/ANL/HHP/10016,Tenofovir-Lamivudine-Dolutegravir,Spain,MedPlus Uganda,Central,Hospital,4535.0,2023-06-04,1125,7294,43,14,0.946,0,Dry,1.0,0.756,0.903,High,26.3,66.6,1,0.766,Fair,0,7.92,7.0,4500.93,0,0.137,Medium,Field Survey
NDA/ABX/HHP/10017,Metformin Tablets,India,Ngoma Distributors,Central,Hospital,5861.0,2022-08-28,1584,7117,84,20,0.479,0,Dry,0.69,0.94,0.66,Moderate,29.0,87.0,0,0.577,Poor,1,8.3,25.21,1868.83,2,0.497,Medium,Simulated System Logs
NDA/CHR/HHP/10018,Doxycycline Capsules,Kenya,Royal Pharma 2011 Ltd,Eastern,Health Centre IV,4792.0,2022-04-20,491,4735,12,18,0.875,0,Rainy,0.412,0.879,0.562,Moderate,24.9,50.6,1,0.561,Excellent,0,7.72,16.18,661.82,1,0.397,Medium,Field Survey
NDA/CHR/HHP/10019,Artemether-Lumefantrine,China,Pharma Mart Ltd,Central,Health Centre IV,4222.0,2022-09-12,1125,4579,40,17,0.817,0,Rainy,0.748,0.843,0.989,High,20.5,62.0,1,0.147,Excellent,0,2.38,5.69,1667.4,4,0.288,Low,Scopus Research
